term,frequency,density,occurrence
list,1246,0.004982007197121152,0.4505
wrote,893,0.0035705717712914836,0.3705
can,1415,0.005657736905237905,0.3635
mailing,810,0.003238704518192723,0.3625
just,1146,0.004582167133146742,0.352
get,1045,0.004178328668532587,0.325
one,1149,0.004594162335065974,0.2945
like,990,0.003958416633346662,0.291
dont,853,0.0034106357457017195,0.279
use,980,0.00391843262694922,0.274
email,690,0.0027588964414234306,0.2545
im,754,0.003014794082367053,0.254
now,747,0.0029868052778888447,0.2525
will,1256,0.0050219912035185926,0.2395
time,762,0.003046781287485006,0.239
new,821,0.0032826869252299083,0.232
message,662,0.0026469412235105958,0.2265
think,622,0.0024870051979208317,0.1965
also,660,0.0026389444222311076,0.1925
people,853,0.0034106357457017195,0.188
way,583,0.002331067572970812,0.185
know,467,0.0018672530987604958,0.176
see,500,0.001999200319872051,0.174
date,392,0.0015673730507796881,0.1715
make,507,0.00202718912435026,0.1665
even,535,0.002139144342263095,0.165
sep,437,0.0017473010795681727,0.1595
using,460,0.001839264294282287,0.1595
well,441,0.0017632946821271491,0.1575
ive,427,0.0017073170731707317,0.156
still,410,0.001639344262295082,0.1555
first,520,0.0020791683326669332,0.154
something,389,0.0015553778488604558,0.1505
good,441,0.0017632946821271491,0.148
much,427,0.0017073170731707317,0.147
really,357,0.0014274290283886445,0.145
work,475,0.0018992403038784486,0.1435
free,428,0.0017113154738104758,0.1425
want,412,0.0016473410635745702,0.1415
thats,358,0.0014314274290283886,0.1395
said,693,0.002770891643342663,0.1395
group,329,0.0013154738104758097,0.138
subject,333,0.001331467413034786,0.137
may,407,0.0016273490603758497,0.133
sponsored,291,0.0011635345861655338,0.1325
need,371,0.001483406637345062,0.132
sfnet,287,0.0011475409836065574,0.1305
cant,331,0.0013234706117552979,0.129
problem,365,0.0014594162335065974,0.129
go,332,0.001327469012395042,0.129
since,332,0.001327469012395042,0.127
doesnt,331,0.0013234706117552979,0.1265
rpmlist,269,0.0010755697720911635,0.123
rpmlistfreshrpmsnet,267,0.0010675729708116753,0.123
httplistsfreshrpmsnetmailmanlistinforpmlist,266,0.0010635745701719312,0.123
old,295,0.0011795281887245102,0.1205
sure,288,0.0011515393842463015,0.1205
many,398,0.0015913634546181527,0.1205
world,521,0.0020831667333066775,0.1195
right,336,0.0013434626149540184,0.119
pm,296,0.0011835265893642543,0.1185
us,492,0.0019672131147540984,0.1185
got,293,0.001171531387445022,0.1175
end,320,0.0012794882047181128,0.116
id,294,0.001175529788084766,0.116
find,320,0.0012794882047181128,0.1155
used,311,0.0012435025989604158,0.1145
two,327,0.0013074770091963215,0.113
system,322,0.001287485005997601,0.1125
messages,393,0.0015713714514194322,0.1125
file,403,0.0016113554578168732,0.1115
version,327,0.0013074770091963215,0.1105
found,300,0.0011995201919232307,0.11
url,229,0.0009156337465013994,0.108
say,315,0.0012594962015193922,0.107
another,274,0.001095561775289884,0.1065
linux,427,0.0017073170731707317,0.106
probably,249,0.0009956017592962815,0.105
back,272,0.0010875649740103958,0.104
things,265,0.0010595761695321871,0.103
might,288,0.0011515393842463015,0.1025
look,259,0.0010355857656937225,0.102
mail,362,0.001447421031587365,0.102
take,323,0.001291483406637345,0.102
better,281,0.0011235505797680928,0.102
thanks,226,0.0009036385445821671,0.1015
anyone,232,0.0009276289484206317,0.1015
change,321,0.0012834866053578569,0.1015
try,246,0.0009836065573770492,0.1005
phone,270,0.0010795681727309076,0.1
years,381,0.001523390643742503,0.0995
run,292,0.0011675329868052779,0.0985
last,283,0.001131547381047581,0.098
ill,241,0.0009636145541783287,0.098
seems,230,0.0009196321471411435,0.0975
without,267,0.0010675729708116753,0.0975
set,298,0.0011915233906437425,0.096
original,240,0.0009596161535385846,0.096
spam,452,0.0018072770891643343,0.095
sent,221,0.0008836465413834466,0.0935
actually,244,0.000975609756097561,0.093
line,386,0.0015433826469412235,0.0925
running,239,0.0009556177528988405,0.092
give,213,0.0008516593362654938,0.092
information,322,0.001287485005997601,0.092
youre,236,0.0009436225509796082,0.0915
users,247,0.0009876049580167933,0.0905
though,213,0.0008516593362654938,0.09
anything,221,0.0008836465413834466,0.089
september,281,0.0011235505797680928,0.089
send,208,0.0008316673330667733,0.0885
someone,222,0.0008876449420231907,0.0885
theres,226,0.0009036385445821671,0.088
different,253,0.001011595361855258,0.087
didnt,217,0.0008676529388244702,0.087
going,254,0.001015593762495002,0.087
files,289,0.0011555377848860456,0.087
thing,224,0.0008956417433026789,0.087
never,217,0.0008676529388244702,0.086
point,234,0.00093562574970012,0.0855
every,265,0.0010595761695321871,0.0855
long,213,0.0008516593362654938,0.0845
case,241,0.0009636145541783287,0.084
best,250,0.0009996001599360256,0.084
put,200,0.0007996801279488205,0.0825
help,262,0.0010475809676129548,0.081
isnt,186,0.000743702518992403,0.0805
stuff,223,0.0008916433426629348,0.08
code,242,0.0009676129548180728,0.0795
maybe,195,0.0007796881247501,0.0785
yes,165,0.0006597361055577769,0.078
made,206,0.0008236705317872851,0.0775
done,217,0.0008676529388244702,0.0775
user,205,0.000819672131147541,0.077
add,171,0.0006837265093962415,0.077
software,266,0.0010635745701719312,0.077
getting,173,0.0006917233106757297,0.0765
next,218,0.0008716513394642143,0.0755
lot,188,0.0007516993202718912,0.075
writes,162,0.0006477409036385446,0.075
course,184,0.0007357057177129148,0.075
least,189,0.0007556977209116353,0.074
trying,188,0.0007516993202718912,0.0735
else,201,0.0008036785285885646,0.0735
enough,172,0.0006877249100359856,0.073
data,303,0.001211515393842463,0.073
less,200,0.0007996801279488205,0.073
working,184,0.0007357057177129148,0.0725
around,196,0.0007836865253898441,0.072
read,188,0.0007516993202718912,0.072
aug,212,0.0008476609356257497,0.072
keep,184,0.0007357057177129148,0.071
instead,173,0.0006917233106757297,0.071
great,212,0.0008476609356257497,0.0705
bit,175,0.0006997201119552179,0.0705
home,195,0.0007796881247501,0.0705
real,187,0.0007477009196321471,0.0705
server,260,0.0010395841663334666,0.0705
number,186,0.000743702518992403,0.0705
matthias,220,0.0008796481407437025,0.07
part,205,0.000819672131147541,0.07
day,198,0.0007916833266693323,0.07
please,163,0.0006517393042782887,0.0695
build,220,0.0008796481407437025,0.069
check,271,0.0010835665733706517,0.068
come,183,0.0007317073170731707,0.068
wed,155,0.0006197520991603359,0.0675
either,151,0.0006037584966013595,0.067
however,180,0.0007197121151539384,0.067
place,163,0.0006517393042782887,0.067
page,142,0.0005677728908436625,0.0665
cell,149,0.0005957616953218713,0.0665
problems,192,0.0007676929228308677,0.066
works,164,0.0006557377049180328,0.0655
always,153,0.0006117552978808477,0.0655
welcome,144,0.0005757696921231507,0.0655
spamassassintalk,142,0.0005677728908436625,0.0655
groups,244,0.000975609756097561,0.0655
far,157,0.0006277489004398241,0.0645
yet,172,0.0006877249100359856,0.0645
seem,146,0.0005837664934026389,0.064
times,219,0.0008756497401039584,0.064
network,211,0.0008436625349860056,0.064
already,156,0.00062375049980008,0.064
nothing,155,0.0006197520991603359,0.064
idea,170,0.0006797281087564974,0.0635
example,164,0.0006557377049180328,0.0635
begin,162,0.0006477409036385446,0.0635
support,206,0.0008236705317872851,0.063
current,162,0.0006477409036385446,0.063
thought,170,0.0006797281087564974,0.0625
spamassassintalklistssourceforgenet,135,0.0005397840863654538,0.0625
etc,164,0.0006557377049180328,0.0625
internet,226,0.0009036385445821671,0.062
httpslistssourceforgenetlistslistinfospamassassintalk,130,0.0005197920831667333,0.0615
seen,134,0.0005357856857257097,0.0605
rather,155,0.0006197520991603359,0.0605
log,164,0.0006557377049180328,0.06
web,263,0.001051579368252699,0.06
easy,135,0.0005397840863654538,0.06
tired,134,0.0005357856857257097,0.0595
quite,131,0.0005237904838064774,0.059
rpm,266,0.0010635745701719312,0.059
issue,135,0.0005397840863654538,0.059
geek,128,0.0005117952818872451,0.0585
possible,139,0.0005557776889244302,0.0585
mon,126,0.0005037984806077569,0.0585
tried,142,0.0005677728908436625,0.0585
today,165,0.0006597361055577769,0.058
package,242,0.0009676129548180728,0.058
ok,152,0.0006077568972411036,0.0575
heaven,125,0.0004998000799680128,0.0575
tell,131,0.0005237904838064774,0.0575
yahoo,216,0.0008636545381847261,0.0575
