term,frequency,density,occurrence
email,785,0.0023424794473538933,0.884
new,817,0.002437969055398893,0.776
unsubscribe,311,0.0009280396281873387,0.776
free,704,0.0021007713769899887,0.708
body,397,0.0011846679498082747,0.7
now,520,0.0015517061307312415,0.68
html,512,0.0015278337287199916,0.672
address,330,0.0009847365829640572,0.672
table,6342,0.018924846694418334,0.664
head,369,0.0011011145427689002,0.664
font,11259,0.03359742178058279,0.664
br,10373,0.03095355325783686,0.656
will,652,0.0019456007639168645,0.648
img,9718,0.028999000343165778,0.644
title,353,0.0010533697387464004,0.64
tr,11657,0.03478507378064247,0.636
td,23343,0.0696566850185757,0.636
nbsp,4512,0.013464034734344927,0.612
subscription,436,0.001301045909613118,0.608
can,722,0.0021544842815153006,0.608
see,310,0.0009250555779359324,0.604
width,14648,0.04371036808259851,0.6
height,8038,0.023985795920803306,0.596
get,553,0.0016501797890276471,0.592
one,451,0.0013458066633842115,0.588
reserved,152,0.00045357563821374754,0.584
web,821,0.002449905256404518,0.584
border,5719,0.01706578338779225,0.58
rights,166,0.0004953523417334347,0.572
size,4518,0.013481939035853364,0.564
also,340,0.0010145770854781194,0.556
news,440,0.0013129821106187428,0.556
center,399,0.0011906360503110872,0.544
end,340,0.0010145770854781194,0.544
just,444,0.0013249183116243678,0.54
time,501,0.0014950091759545231,0.536
please,384,0.0011458752965399937,0.532
cellspacing,2576,0.007686913447622458,0.528
helvetica,2576,0.007686913447622458,0.528
management,337,0.0010056249347239008,0.528
colspan,1276,0.003807648120794354,0.524
click,428,0.001277173507601868,0.524
information,341,0.0010175611357295257,0.52
copyright,171,0.000510272592990466,0.516
top,397,0.0011846679498082747,0.512
color,1413,0.004216463005237008,0.508
software,456,0.0013607269146412426,0.508
cellpadding,2580,0.0076988496486280825,0.508
bgcolorffffff,734,0.0021902928845321757,0.504
us,356,0.0010623218895006192,0.496
like,317,0.0009459439296957761,0.492
message,283,0.0008444862211479642,0.488
service,228,0.0006803634573206213,0.484
valigntop,1414,0.0042194470554884145,0.484
may,241,0.0007191561105889023,0.476
newsletter,269,0.0008027095176282769,0.476
internet,349,0.0010414335377407755,0.472
help,219,0.0006535070050579652,0.472
read,463,0.0013816152664010862,0.468
sans,795,0.002372319949867956,0.468
send,199,0.0005938260000298405,0.464
advertise,122,0.00036405413067156053,0.464
alignright,530,0.001581546633245304,0.46
tech,395,0.0011786998493054624,0.46
manage,130,0.0003879265326828104,0.456
online,286,0.0008534383719021829,0.452
go,226,0.0006743953568178089,0.452
need,221,0.0006594751055607776,0.448
price,253,0.0007549647136057771,0.448
use,307,0.0009161034271817138,0.444
services,256,0.0007639168643599958,0.444
aligncenter,598,0.0017844620503409277,0.44
find,273,0.0008146457186339018,0.44
make,257,0.0007669009146114021,0.436
right,216,0.0006445548543037464,0.436
form,477,0.0014233919699207735,0.432
inc,202,0.0006027781507840592,0.428
home,211,0.0006296346030467153,0.428
div,709,0.00211569162824702,0.424
system,265,0.000790773316622652,0.42
bgcolor,1490,0.004446234874595288,0.416
check,238,0.0007102039598346836,0.408
ad,279,0.0008325500201423392,0.404
pc,265,0.000790773316622652,0.396
