term,frequency,density,occurrence
email,862,0.00590803479023735,0.578
please,468,0.0032076105357669135,0.52
click,398,0.0027278397291351105,0.488
list,421,0.0028854787084569887,0.448
body,464,0.003180195061102239,0.444
will,844,0.005784665154246314,0.442
html,518,0.0035503039690753446,0.438
free,680,0.004660630692994661,0.432
font,8545,0.05856630775241085,0.418
br,3161,0.021665078853759005,0.416
information,374,0.0025633468811470635,0.384
head,362,0.0024811004571530402,0.364
now,329,0.0022549227911694758,0.354
table,1530,0.010486419059237986,0.348
can,519,0.0035571578377415133,0.344
get,430,0.002947163526452506,0.34
tr,3290,0.022549227911694756,0.338
new,419,0.0028717709711246512,0.334
td,5563,0.038128071389896025,0.33
us,418,0.0028649171024584825,0.324
one,374,0.0025633468811470635,0.322
time,313,0.002145260892510778,0.298
receive,327,0.0022412150538371383,0.298
title,298,0.0020424528625182484,0.292
message,245,0.0016791978232113117,0.286
nbsp,1371,0.009396653941317177,0.284
wish,195,0.0013365043899028807,0.278
removed,171,0.001172011541914834,0.256
go,190,0.0013022350465720376,0.25
center,625,0.004283667916355387,0.248
just,296,0.0020287451251859113,0.244
meta,238,0.0016312207425481313,0.244
img,1020,0.006990946039491991,0.24
form,307,0.002104137680513766,0.238
size,1386,0.009499461971309705,0.236
money,508,0.0034817652824136584,0.234
company,217,0.0014872895005585904,0.232
want,233,0.0015969513992172882,0.23
name,340,0.0023303153464973303,0.23
address,281,0.001925937095193382,0.23
dont,216,0.0014804356318924216,0.224
like,175,0.0011994270165795083,0.216
may,189,0.001295381177905869,0.214
business,377,0.0025839084871455693,0.208
today,169,0.0011583038045824966,0.208
remove,125,0.0008567335832710773,0.206
contenttype,166,0.0011377421985839908,0.2
send,276,0.001891667751862539,0.2
also,202,0.001384481470566061,0.2
charsetiso,111,0.0007607794219447167,0.2
offer,178,0.001219988622578014,0.198
sized,1521,0.010424734241242468,0.196
contenttransferencoding,153,0.0010486419059237988,0.196
reply,142,0.0009732493505959439,0.194
best,170,0.0011651576732486651,0.192
link,129,0.0008841490579357519,0.192
make,325,0.002227507316504801,0.188
mailing,148,0.0010143725625929557,0.188
need,175,0.0011994270165795083,0.186
color,528,0.003618842655737031,0.186
help,170,0.0011651576732486651,0.184
contact,144,0.000986957087928281,0.182
borderd,524,0.0035914271810723562,0.182
use,155,0.0010623496432561358,0.18
sent,159,0.0010897651179208104,0.178
widthd,1732,0.011870900529804048,0.174
future,116,0.0007950487652755597,0.172
border,704,0.004825123540982708,0.172
take,135,0.0009252722699327635,0.17
million,180,0.0012336963599103514,0.168
helvetica,585,0.004009513169708642,0.168
sansserif,649,0.004448160764343434,0.168
service,133,0.0009115645326004263,0.166
unsubscribe,108,0.0007402178159462108,0.166
state,178,0.001219988622578014,0.164
aligndcenter,632,0.0043316449970185675,0.164
width,1361,0.00932811525465549,0.164
texthtml,81,0.0005551633619596581,0.162
